Average of log_R78,Column Labels,,
Row Labels,O,S,(blank)
1,3.129092592,3.118531146,
2,3.05452973,2.97586073,
3,2.987895534,2.994127686,
5,3.17013502,3.31551668,
6,3.019313533,3.206536837,
7,3.197612201,3.294357403,
8,3.006831323,3.062734718,
9,3.37359412,3.340519946,
10,3.602112602,3.666611297,
12,3.218469047,3.165683938,
13,3.186670079,3.401143815,
14,3.081020715,3.157191969,
17,2.995656695,3.067644261,
18,2.979486139,2.925401645,
21,3.394023293,3.488511839,
23,3.234267864,3.414379589,
24,3.106861087,3.121808994,
25,3.076453652,3.156503842,
27,3.248455055,3.380327565,
28,2.922698626,2.945415269,
29,3.188481598,3.204910028,
32,3.139918622,3.157857322,
33,3.271103939,3.319222918,
34,3.187563066,3.207337372,
35,3.040405727,3.118052845,
37,3.159051836,3.11147804,
38,3.172565282,3.168833624,
39,3.208787468,3.235484032,
40,3.175591016,3.097537196,
41,3.01048812,2.962879783,
42,3.060398395,2.996434855,
44,3.221592387,3.145611434,
45,3.439587312,3.365903662,
47,3.30461319,3.348868769,
51,3.143577647,3.180479614,
52,3.250745788,3.313959996,
(blank),,,